text,label
She's SO Julia ,2
coconut TREE 💜 ,2
This ate ,2
apple tree ,2
kamala is brat ,2
brat ,2
you think you just fell out of an apple tree? ,2
Queen of ijbolivia ,2
MAGA2024!!! ,0
You live in the CONTEXT 💜 ,2
KAMALA HARRIS SUPPORTS GENOCIDE ,0
Trump ❤️❤️❤️ ,2
Charlie ex vee ex ,2
trump 24 cause we dont want war❤️ ,0
@shrimp 너🍉 What an icon🤭💅🏼 ,2
queen ,2
i knew the edits were coming as soon as she stepped up ,2
Me patiently waiting for the definition of brat hahaha ,1
The eyeshadow 🥰💙 ,2
Glad not single person is worried about china buying our farmland in the us guess you must have a plan for the impending civil war and famine incoming huh ,0
"I swear if kamala doesn't become president  i lose any positive opinion about us" ,0
Sameeeeeee ,1
momala is dope 😭 ,2
KAMALA IS BRAT 💚 ,2
"Normal people oppose criminal palestine movement! Be against terrorists!
Free 07/10 hostages!🇫🇷🙏🇮🇱" ,1
I love that the older generations are actually trying to learn! ,2
amazes me how it isn't that deep but ok gen z ,0
LOVE HERRRR ,2
this is not Kerry Washington but Olivia Pope executing Phase 1 of the Presidential Campaign ,1
Kamala Harris for president (I’m Mexican) ,2
Pass ,0
🤣😂😅 she's a joke and a disgrace to America ,0
🥰♥️✨ ,2
🥰🥰🥰🥰🥰🥰 ,2
I can’t get this out of my head ,2
"And she is supposed to run the USA...my lord have mercy on us all  Joe was bad enough..😳" ,0
Finally a normal candidate ,2
Vote trump ,0
chartreuse 😭😭😭 ,2
Jake Tappers not putting Kamala Harris down? Interesting.Give him time😬 ,1
Kamala Harris is quite literally more incoherent than Biden and she’s young lmao ,0
AND THE FEMININOMENON ONE ,2
"I need her campagin slogan to be: 💙🇺🇲Kamala No More Dramala🇺🇲💙" ,2
Couldn’t imagine what this goon will do to our country after he single handedly destroying MN ,0
SHE IS BRAT ,2
ATE ,2
Kamala is that brat💪 ,2
Kamala is bratwurst ,2
"if infectious Joy is incompreensíble to sad conservatives  it just show how dark they . they live in absolute darkness ,0
charli HERSELF tweeted “kamala IS brat” ,2
🥥🥥🥥🥥🥥🥥🥥😂😂😂 ,2
Is this a pro Kamala video???? 😭 ,0
I vote for Kamala (She’s like Leni of the Philippines) 🥺💖 ,2
"✨ It IS brat summer  Tim. ✨" ,2
America needs a mother figure to lead them for once. ,2
All we gonna do is Pick Kamala❤ ,2
@_F_J_ Cry harder 🤣🤣 ,0
"I can't go to sleep.  I want the vote to be cast  counted  confirmed and get on with the recovery and repair!" ,0
This is 1 of my Favorite episodes  !!! I watched it over & over. Yes Stephen you are The BRAT ❤❤❤🎉🎉🎉❤❤❤ ,2
"being from the BDSM community  being a brat and brat tamer is actually a thing.. I was a total brat saturday night in a donjon's interrogation room  handcuffed to the table  having fun playing around" ,1
"Well according to presidential scholars Donald Trump was ranked 46 th dead last and Biden at 14.so suck it Donald.Also you tube and other media companies are complicit in spreading trump's lies  just by running his ads" ,0
